diff_in_best_reward	roundrobin_roundrobin	roundrobin_ucb	roundrobin_ts	ucb_over_intervention_pairs	ts_over_intervention_pairs	convex_explorer
0.010000	0.960000	1.000000	0.970000	1.000000	1.000000	0.840000
0.050000	0.540000	0.980000	0.960000	1.000000	1.000000	0.070000
0.100000	0.020000	0.110000	0.940000	1.000000	1.000000	0.010000
0.150000	0.000000	0.000000	0.930000	1.000000	1.000000	0.000000
0.200000	0.000000	0.000000	0.920000	1.000000	1.000000	0.000000
0.250000	0.000000	0.000000	0.910000	0.940000	1.000000	0.000000
0.300000	0.000000	0.000000	0.970000	0.900000	1.000000	0.000000
0.350000	0.000000	0.000000	0.960000	0.800000	1.000000	0.000000
0.400000	0.000000	0.000000	0.930000	0.710000	1.000000	0.000000
0.450000	0.000000	0.000000	0.870000	0.530000	1.000000	0.000000
